search_item,search_lat,search_lon,URL,url_lat,url_lon,distance_km,within_7km,Name,Address,Website,,Phone,Store_Type,Operating_Status,Operating_Hours,Rating,Permanently_Closed,Latitude,Longitude
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Career+Platform+-+Medical-%28NEET-UG%29+%7C+IIT-JEE+%28Main+%2BAdv.%29+%7C+XI+%26+XII+%7C+CUET-UG+%7C+Foundation+Class+%28VI+to+X%29+%7C+Olympiad/data=!4m7!3m6!1s0x390d1fadd0ab18e9:0x5d91dd3c561b26c0!8m2!3d28.5013663!4d77.1855728!16s%2Fg%2F11jgn521kn!19sChIJ6Rir0K0fDTkRwCYbVjzdkV0?authuser=0&hl=en&rclk=1,28.5013663,77.1855728,6.67,YES,Career Platform - Medical-(NEET-UG) | IIT-JEE (Main +Adv.) | XI & XII | CUET-UG | Foundation Class (VI to X) | Olympiad,"Gate No-2, Basement Areas, D-29, 100 Feet Rd, near Nathu Sweets, Phase 1, Chattarpur Enclave, Chhatarpur, New Delhi, Delhi 110074",http://www.careerplatform.in/,8448239114,8448239114,Coaching Center,Open,Opens 8 am,4.9,No,28.5013663,77.1855728
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/CareerCarta/data=!4m7!3m6!1s0x390ce31bfcd32e79:0x28dc4e712c8127b8!8m2!3d28.5416786!4d77.203026!16s%2Fg%2F11h1m4zrfh!19sChIJeS7T_BvjDDkRuCeBLHFO3Cg?authuser=0&hl=en&rclk=1,28.5416786,77.203026,3.52,YES,CareerCarta,"Gate No.1, 47/1 Kalu Sarai, opposite Vijaymandal Enclave, Hauz Khas, New Delhi, Delhi 110016",http://www.careercarta.com/,Phone Number Not Found,Phone Number Not Found,Coaching Center,Open,Opens 8 am,3.9,No,28.5416786,77.203026
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Collegedunia+-+Study+Abroad/data=!4m7!3m6!1s0x390ce370979e5b17:0xb14e4109da4fbf22!8m2!3d28.5507217!4d77.2504449!16s%2Fg%2F11xgjvbr3d!19sChIJF1uel3DjDDkRIr9P2glBTrE?authuser=0&hl=en&rclk=1,28.5507217,77.2504449,1.74,YES,Collegedunia - Study Abroad,"8th floor, International trade tower, Plot No. 819, Nehru Place, New Delhi, Delhi 110019",https://collegedunia.com/study-abroad,Phone Number Not Found,Phone Number Not Found,Educational consultant,Open,Opens 10 am,4.9,No,28.5507217,77.2504449
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Colluni+overseas+education+-+Best+Study+Abroad+Consultants+in+Delhi/data=!4m7!3m6!1s0x390d1d86abfaaaab:0x3eb037434ecd6497!8m2!3d28.5691583!4d77.1877843!16s%2Fg%2F11gd3bkv3d!19sChIJq6r6q4YdDTkRl2TNTkM3sD4?authuser=0&hl=en&rclk=1,28.5691583,77.1877843,6.03,YES,Colluni overseas education - Best Study Abroad Consultants in Delhi,"UG - 33, Ansal Chamber -1, Bhikaji Cama Place, Rama Krishna Puram, New Delhi, Delhi 110066",https://www.colluni.com/,9319283070,9319283070,Educational consultant,Open,Opens 9:30 am,4.9,No,28.5691583,77.1877843
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Creative+Zone+by+Deepti+Goel/data=!4m7!3m6!1s0x390ce301d8378b7b:0x330277f440475e47!8m2!3d28.5833625!4d77.2406836!16s%2Fg%2F11f1042yvt!19sChIJe4s32AHjDDkRR15HQPR3AjM?authuser=0&hl=en&rclk=1,28.5833625,77.2406836,4.96,YES,Creative Zone by Deepti Goel,"Suri Villa, 15, Link Rd, Jangpura, Block J, Jungpura Extension, New Delhi, Delhi 110024",Not Found,9871037020,9871037020,Coaching Center,Open,Opens 10 am,4.9,No,28.5833625,77.2406836
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Dawn+English+Academy/data=!4m7!3m6!1s0x390ce2532cfcde4b:0x678e15ae7b62ce03!8m2!3d28.5708199!4d77.2408441!16s%2Fg%2F11c3_5b5fw!19sChIJS978LFPiDDkRA85ie64Vjmc?authuser=0&hl=en&rclk=1,28.5708199,77.2408441,3.57,YES,Dawn English Academy,"First Floor, E-34, Central Market, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024",https://www.englishexams.in/,9654349066,9654349066,English language school,Open,Opens 9 am,4.8,No,28.5708199,77.2408441
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Dynamic+English+Academy/data=!4m7!3m6!1s0x390ce38eea4952e5:0x58f459fb9679709c!8m2!3d28.5657275!4d77.2850854!16s%2Fg%2F12hqhwplz!19sChIJ5VJJ6o7jDDkRnHB5lvtZ9Fg?authuser=0&hl=en&rclk=1,28.5657275,77.2850854,5.42,YES,Dynamic English Academy,"2nd floor, A-29, above J&K bank, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025",http://www.dynamicenglish.in/,9971612644,9971612644,English language school,Open,Opens 8:30 am,4.7,No,28.5657275,77.2850854
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/EDUGENIUS+ACADEMY/data=!4m7!3m6!1s0x390d1dd810a55bf7:0xd2a89f300c43175d!8m2!3d28.556302!4d77.174803!16s%2Fg%2F11h0zmqkdm!19sChIJ91ulENgdDTkRXRdDDDCfqNI?authuser=0&hl=en&rclk=1,28.556302,77.174803,6.56,YES,EDUGENIUS ACADEMY,"First floor, UG-10, Delhi Metro Magenta Line, Baba Gangnath Market, Munirka, New Delhi, Delhi 110067",Not Found,9711087513,9711087513,Coaching Center,Closed,Not Found,4.8,No,28.556302,77.174803
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/EDUMATE+STUDY+GROUP+-+Tuitions+for+classes+1-12+%7C+CBSE+%7C+ICSE+%7C+All+subjects+%7C+English+%7C+IELTS%2FTOEFL+%7C+B.Com%2FCA%2FCS%2FCMA/data=!4m7!3m6!1s0x390ce390e49b8843:0x70ddd6a4b30b0c98!8m2!3d28.5588025!4d77.227707!16s%2Fg%2F11fhvqk35_!19sChIJQ4ib5JDjDDkRmAwLs6TW3XA?authuser=0&hl=en&rclk=1,28.5588025,77.227707,2.48,YES,EDUMATE STUDY GROUP - Tuitions for classes 1-12 | CBSE | ICSE | All subjects | English | IELTS/TOEFL | B.Com/CA/CS/CMA,"Landmark - PNB ATM, C-18, near Sadiq Nagar, Block B, Sanwal Nagar, Ayurvigyan Nagar, New Delhi, Delhi 110049",https://www.edumatestudy.in/,9013975078,9013975078,Coaching Center,Open,Opens 9 am,4.9,No,28.5588025,77.227707
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Edwise+International/data=!4m7!3m6!1s0x390d1d841aaaaaab:0xc15ca7fcaa3ec424!8m2!3d28.5688728!4d77.2233444!16s%2Fg%2F1v8ky_gf!19sChIJq6qqGoQdDTkRJMQ-qvynXME?authuser=0&hl=en&rclk=1,28.5688728,77.2233444,3.68,YES,Edwise International,"N-13, Opp. Flyover Above Punjab National Bank, South Extension I, Block N, New Delhi, Delhi 110003",https://www.edwiseinternational.com/,1147005333,1147005333,Educational consultant,Open,Opens 9:30 am,4.8,No,28.5688728,77.2233444
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Edwizard/data=!4m7!3m6!1s0x390ce2776861db25:0x7446fb60d5d767d5!8m2!3d28.5585219!4d77.2043582!16s%2Fg%2F11cmyl3dtr!19sChIJJdthaHfiDDkR1WfX1WD7RnQ?authuser=0&hl=en&rclk=1,28.5585219,77.2043582,4.03,YES,Edwizard,"A-6, Green Park Ext Rd, Block N, Green Park Extension, Green Park, New Delhi, Delhi 110016",http://www.edwizard.in/,9873010678,9873010678,Education center,Open,Opens 11 am,4.9,No,28.5585219,77.2043582
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/English+Evolve+in+Okhla/data=!4m7!3m6!1s0x390ce573ba71b32d:0xd61b68c0656c2259!8m2!3d28.5626561!4d77.2899898!16s%2Fg%2F11y91q19dd!19sChIJLbNxunPlDDkRWSJsZcBoG9Y?authuser=0&hl=en&rclk=1,28.5626561,77.2899898,5.65,YES,English Evolve in Okhla,"B-Upper Ground Floor, Jaswant Apartment, D 13, Okhla Rd, near तिकोना पार्क मार्ग, Jamia Nagar, Okhla, New Delhi, Delhi 110025",https://www.englishevolve.in/,8882388887,8882388887,Educational institution,Open,Opens 8 am,5,No,28.5626561,77.2899898
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Erisha+EduSupport+LLP/data=!4m7!3m6!1s0x390ce7fcf400d579:0xd0f1dd2bbff1a7ef!8m2!3d28.5384738!4d77.2899555!16s%2Fg%2F11sbwm_wcg!19sChIJedUA9PznDDkR76fxvyvd8dA?authuser=0&hl=en&rclk=1,28.5384738,77.2899555,4.99,YES,Erisha EduSupport LLP,"DLF Tower A, JA 625, Jasola Vihar, New Delhi, Delhi 110025",https://www.edusupport.in/,8217355908,8217355908,College,Open,Opens 10 am,5,No,28.5384738,77.2899555
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Fluent+Fast+Academy+%E2%80%93+Foreign+Language+Courses+Online+%26+Offline/data=!4m7!3m6!1s0x390ce570ace5d367:0xf86ae1d4b6f2b2a4!8m2!3d28.558699!4d77.2051484!16s%2Fg%2F11hvgbyryr!19sChIJZ9PlrHDlDDkRpLLyttThavg?authuser=0&hl=en&rclk=1,28.558699,77.2051484,3.97,YES,Fluent Fast Academy – Foreign Language Courses Online & Offline,"2nd Floor, S-2, Green Park Ext Rd, Block B, Market, Green Park, New Delhi, Delhi, 110016",https://www.fluentfastacademy.com/,7834806482,7834806482,Educational institution,Open,Opens 9 am,4.6,No,28.558699,77.2051484
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Fluentia+Academy/data=!4m7!3m6!1s0x390ce19555555555:0xe0b86179b43de662!8m2!3d28.5716473!4d77.2217831!16s%2Fg%2F11b6xd9l3m!19sChIJVVVVVZXhDDkRYuY9tHlhuOA?authuser=0&hl=en&rclk=1,28.5716473,77.2217831,4.02,YES,Fluentia Academy,"B-50, opp. B-50, near Bengali Sweets, South Extension I, Block H, New Delhi, Delhi 110049",http://www.fluentiaacademy.com/,8929417862,8929417862,Language school,Open,Opens 8 am,4.7,No,28.5716473,77.2217831
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,"https://www.google.com/maps/place/Get+Success+Point%E2%84%A2+Coaching+Delhi+:+CUET+Entrance,+SSC,+BANK,+CTET,+CAT,+NDA,+Delhi+Police+Constable/data=!4m7!3m6!1s0x390d1e2382e1b731:0x508e682c03a75f32!8m2!3d28.5008235!4d77.1831487!16s%2Fg%2F11gc9g_wyp!19sChIJMbfhgiMeDTkRMl-nAyxojlA?authuser=0&hl=en&rclk=1",28.5008235,77.1831487,6.89,YES,"Get Success Point™ Coaching Delhi : CUET Entrance, SSC, BANK, CTET, CAT, NDA, Delhi Police Constable","2nd floor, 311/30, Main Chhatarpur Rd, above Yes bank, Block A1, Chhatarpur, New Delhi, Delhi 110074",https://getsuccesspoint.com/,9999604153,9999604153,Coaching Center,Open,Opens 8 am,4.4,No,28.5008235,77.1831487
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Global+Opportunities/data=!4m7!3m6!1s0x390ce334985ed1f5:0xeca91fa4a1b7c71!8m2!3d28.553669!4d77.2408477!16s%2Fg%2F11rg_l9qdp!19sChIJ9dFemDTjDDkRcXwbSvqRyg4?authuser=0&hl=en&rclk=1,28.553669,77.2408477,1.67,YES,Global Opportunities,"Kailash Colony Market, HS-27, Mezzanine, 2nd & 3rd Floor Main, New Delhi, Delhi 110048",https://www.global-opportunities.net/,1147141414,1147141414,Educational consultant,Open,Opens 9:30 am,4.4,No,28.553669,77.2408477
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,"https://www.google.com/maps/place/Global+Tree+Abroad+Educational+Services%7C+Canada+Immigration+Services+%7C+GRE,+GMAT,+IELTS+Coaching/data=!4m7!3m6!1s0x390ce252eec705af:0x5cc3fdb6afb57599!8m2!3d28.550481!4d77.2502096!16s%2Fg%2F11g6xrd8b6!19sChIJrwXH7lLiDDkRmXW1r7b9w1w?authuser=0&hl=en&rclk=1",28.550481,77.2502096,1.71,YES,"Global Tree Abroad Educational Services| Canada Immigration Services | GRE, GMAT, IELTS Coaching","Lower Ground Floor, International Trade Tower, Suite:8 & 11, E Block, Nehru Place, New Delhi, Delhi 110019",https://globaltree.in/,Phone Number Not Found,Phone Number Not Found,Educational consultant,Open,Opens 10 am,3.2,No,28.550481,77.2502096
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/GMATinsight+GMAT+%7C+GRE+%7C+SAT+%7C+IELTS+Best+Coaching+in+Malviya+Nagar+South+New+Delhi/data=!4m7!3m6!1s0x390ce21cdb87f0af:0xc01989226f75a657!8m2!3d28.5341117!4d77.2101416!16s%2Fg%2F11dxdcb3pv!19sChIJr_CH2xziDDkRV6Z1byKJGcA?authuser=0&hl=en&rclk=1,28.5341117,77.2101416,2.86,YES,GMATinsight GMAT | GRE | SAT | IELTS Best Coaching in Malviya Nagar South New Delhi,"Bus stop, GMATinsight NIL-26AB 1st Floor, near Malviya Nagar, Malviya Nagar, New Delhi, Delhi 110017",http://www.gmatinsight.com/,9891333772,9891333772,Coaching Center,Open,Opens 9 am,4.9,No,28.5341117,77.2101416
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/GURU+All+Faculty+Classes/data=!4m7!3m6!1s0x390ce1b6056d4695:0xdfb1daf314ceac06!8m2!3d28.5266924!4d77.255003!16s%2Fg%2F11nxd09t9k!19sChIJlUZtBbbhDDkRBqzOFPPasd8?authuser=0&hl=en&rclk=1,28.5266924,77.255003,2.07,YES,GURU All Faculty Classes,"J3/338, DDA Flats Kalkaji, Block J 3, Alaknanda Market, Kalkaji, New Delhi, Delhi 110019",Not Found,Phone Number Not Found,Phone Number Not Found,Private Tutor,Open,Opens 10 am,4.9,No,28.5266924,77.255003
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/IDP+Education+-+Study+Abroad+Consultants+in+South+Delhi+%28Nehru+Place%29/data=!4m7!3m6!1s0x390ce3cf3c20f293:0xa34e41630249e270!8m2!3d28.5506763!4d77.2501602!16s%2Fg%2F11b7hgs0r3!19sChIJk_IgPM_jDDkRcOJJAmNBTqM?authuser=0&hl=en&rclk=1,28.5506763,77.2501602,1.72,YES,IDP Education - Study Abroad Consultants in South Delhi (Nehru Place),"5th Floor, Suits Nos. 510-513 6th Floor, Suits Nos. 610-616 International Trade Tower, Nehru Place, New Delhi, Delhi 110019",https://www.idp.com/india/study-abroad-consultants/delhi/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_term=plcid_4521851243414662384,18001022233,18001022233,Educational consultant,Open,Opens 9:30 am,4.8,No,28.5506763,77.2501602
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/IELTS+Coaching/data=!4m7!3m6!1s0x390ce3150ae52a5b:0xf21867b6d6b620de!8m2!3d28.5692956!4d77.2440347!16s%2Fg%2F11n0b98c1y!19sChIJWyrlChXjDDkR3iC21rZnGPI?authuser=0&hl=en&rclk=1,28.5692956,77.2440347,3.43,YES,IELTS Coaching,"2nd Floor, L-102, Block I, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024",Not Found,Phone Number Not Found,Phone Number Not Found,Coaching Center,Open,Opens 9 am,4.3,No,28.5692956,77.2440347
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/IELTS+Coaching+in+MalviyaNagar/data=!4m7!3m6!1s0x390ce21956efccb7:0x5ad5ccce73bdf016!8m2!3d28.5319305!4d77.2081082!16s%2Fg%2F11gdgx6zk6!19sChIJt8zvVhniDDkRFvC9c87M1Vo?authuser=0&hl=en&rclk=1,28.5319305,77.2081082,3.1,YES,IELTS Coaching in MalviyaNagar,"Block L, Malviya Nagar, New Delhi, Delhi 110017",Not Found,8368231404,8368231404,Coaching Center,Open,Opens 10 am,4.9,No,28.5319305,77.2081082
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/ILSC+New+Delhi/data=!4m7!3m6!1s0x390ce21cda60f7c3:0x3357b0913de308dc!8m2!3d28.5736871!4d77.2283518!16s%2Fg%2F11gzzq6c8!19sChIJw_dg2hziDDkR3AjjPZGwVzM?authuser=0&hl=en&rclk=1,28.5736871,77.2283518,4.02,YES,ILSC New Delhi,"806, Bhishma Pitamah Marg, South Extension I, Arjun Nagar, Main, Defence Colony, New Delhi, Delhi 110003",https://www.ilsc.com/destinations/country/india,8470866266,8470866266,Foreign languages program school,Open,Opens 9 am,4.6,No,28.5736871,77.2283518
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Inka+Language+Park/data=!4m7!3m6!1s0x390d1d88da76920b:0xecad8965e6d2bb1!8m2!3d28.5571776!4d77.1724888!16s%2Fg%2F11tc7h1wbk!19sChIJC5J22ogdDTkRsSttXpbYyg4?authuser=0&hl=en&rclk=1,28.5571776,77.1724888,6.8,YES,Inka Language Park,"UG-4, Laxman Plaza, Baba Gangnath Market, Munirka, New Delhi, Delhi 110067",Not Found,9162421893,9162421893,English language school,Not Found,Not Found,5,No,28.5571776,77.1724888
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/inlingua+South+Extension/data=!4m7!3m6!1s0x390ce1f3003c5337:0x56f6a40813c2978b!8m2!3d28.568808!4d77.223536!16s%2Fg%2F1w110kt1!19sChIJN1M8APPhDDkRi5fCEwik9lY?authuser=0&hl=en&rclk=1,28.568808,77.223536,3.66,YES,inlingua South Extension,"First Floor, N-12, Mahatma Gandhi Flyover, South Extension I, New Delhi, Delhi 110003",http://www.inlinguanewdelhi.com/,8826710161,8826710161,Language school,Open,Opens 10 am,4.4,No,28.568808,77.223536
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Intensive+Institute/data=!4m7!3m6!1s0x390ce5d819660d61:0xca31098e32f884dc!8m2!3d28.5494681!4d77.2975746!16s%2Fg%2F11pds_g_q1!19sChIJYQ1mGdjlDDkR3IT4Mo4JMco?authuser=0&hl=en&rclk=1,28.5494681,77.2975746,5.85,YES,Intensive Institute,"Thokar No-6, GROUND FLOOR, E-89, near POLICE STATION, Shaheen Bagh, Okhla, New Delhi, Delhi 110025",http://intensiveclasses.com/,7677559255,7677559255,Education center,Open,Opens 7 am,4.9,No,28.5494681,77.2975746
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/IOA+Global/data=!4m7!3m6!1s0x390ce3b18992364d:0xbee72bde1c86ede8!8m2!3d28.5786223!4d77.2449337!16s%2Fg%2F1hjh0353k!19sChIJTTaSibHjDDkR6O2GHN4r574?authuser=0&hl=en&rclk=1,28.5786223,77.2449337,4.47,YES,IOA Global,"1st floor, 59/60, Block I, Lajpat Nagar I, Lajpat Nagar, New Delhi, Delhi 110024",https://ioaglobal.co.in/,9205294961,9205294961,Educational consultant,Open,Opens 10 am,4.8,No,28.5786223,77.2449337
