Company_Name,Selected_Email,Email_Subject,Sent,Resume_Attached,Timestamp,Error
Sree Tammina Software Solutions Pvt Ltd,info@tammina.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:46+05:30,
Techweblabs - Mobile App Development Company,info@techweblabs.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:49+05:30,
Trilok Software Solutions Pvt Ltd,info@triloksoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:51+05:30,
Turing Systems,info@turingsystems.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:53+05:30,
Way2Web IT Services,support@ultrakeyit.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:56+05:30,
Unique IT Solutions,info@unikitsolutions.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:58+05:30,
Veesee,info@veesee.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:00+05:30,
Vijay Software Solutions Private limited,info@vs-solutions.org,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:02+05:30,
Acheron Software Consultancy Pvt. Ltd.,contact@acheron-tech.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:04+05:30,
Analogue IT Solutions-Best Mobile App Development Company in Hyderabad,info@analogueitsolutions.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:06+05:30,
Aspirant Soft Solutions,info@aspirantsoftsolutions.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:08+05:30,
NxtWave Intensive Training Center: Best Software Training Institute in Hyderabad,support@nxtwave.tech,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:10+05:30,
Dhruvsoft Services Private Limited,contact@dhruvsoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:12+05:30,
DLV Software Pvt Ltd,info@dlvsoftware.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:14+05:30,
CSS India Center Private Limited (CSSI),careers@solutionsoftware.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:17+05:30,
GiggleZen Technologies Pvt Ltd,name@domain.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:19+05:30,
Iblesoft Pvt Ltd,info@iblesoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:21+05:30,
iPrism Technologies - Innovative Software and Mobile App Development Company,sales@iprismtech.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:23+05:30,
KPR TECHNO SOFTWARE SOLUTIONS PVT LTD,info@kprtechno.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:25+05:30,
Marcamor - Marketing & Business Consulting Firm,info@marcamor.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:27+05:30,
Mariox Software,admin@marioxsoftware.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:30+05:30,
mTouch Labs – Software Development Company in Hyderabad,careers@mtouchlabs.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:31+05:30,
RightlyHR | Top HRMS Software in Hyderabad,user@domain.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:33+05:30,
Sparta Cloud Solutions Private Limited,info@spartacloudsolutions.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:35+05:30,
Suvidha Software Solutions,info@suvidhasoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:37+05:30,
Suwin Software Solutions,info@suwinsoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:39+05:30,
Syoft- Software Development Company,info@syoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:41+05:30,
Techmojo Solutions Pvt Ltd.,careers@techmojo.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:43+05:30,
Tech Vedika Software Pvt Ltd,info@techvedika.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:45+05:30,
Techzert Software - IBM Business Partner | ISO 20022 Migration Service | Cloud Integration & Paymant Modernization,info@techzert.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:48+05:30,
Tvisha Technologies,info@tvisha.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:49+05:30,
Waytowebs - Best Web Design Company in Hyderabad,info@waytowebs.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:52+05:30,
Wisionet IT Solutions,info@wisionet.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:54+05:30,
iConcept Software Services Pvt. Ltd.,bd@conceptglobal.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:56+05:30,
Arawinz Soft Solutions,chupurnov@gmail.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:44:58+05:30,
Enterpi Software Solutions Private Limited,contact@enterpi.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:00+05:30,
PRove IT Catalysts,contact@proveitcatalysts.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:02+05:30,
Scadea Software Solutions Pvt. Ltd.,contact@scadea.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:04+05:30,
AMMSON,hr@ammson.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:06+05:30,
Savantis Solutions India Pvt Ltd,hr@savantis.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:08+05:30,
RESHAPP Software Solutions Private Limited,hrmanager@reshapp.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:10+05:30,
Aaruhi Software Solutions,info@aaruhisolutions.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:12+05:30,
Agon IT Solutions Private Limited,info@agonitsolutions.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:14+05:30,
celzene IT services pvt ltd,info@celzene.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:16+05:30,
Daxinsoft Technologies Pvt. Ltd,info@daxinsoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:18+05:30,
DZYN,info@example.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:20+05:30,
ITFormula1 IT Solutions Pvt. Ltd,info@itformula1.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:22+05:30,
IT Logix India Private Limited,info@itlogix.net,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:24+05:30,
SkyLinx Global Solutions,info@skylinxglobal.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:26+05:30,
SlashMonk Software Solutions Private Limited,info@slashmonk.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:29+05:30,
TechBulls Software Services Pvt. Ltd.,info@techbulls.co.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:31+05:30,
Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider,hello@tracer.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:33+05:30,
Page Solutions Private Limited,info@pagesolutions.co.uk,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:35+05:30,
LQT Solutions Pvt Ltd.,Info@lqtsol.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:36+05:30,
"Arrowsight Private Limited, INDIA",info@arrowsight.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:38+05:30,
Lera Technologies Pvt. Ltd,sales@lera.us,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:40+05:30,
EDZE SOFT,salesassist@edze.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:42+05:30,
Lucid Technologies,hr@lucidtechinc.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:44+05:30,
Impetus AI Solutions,contact@aeroland.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:46+05:30,
TeamMinds Software Pvt. Ltd,support@mail.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:48+05:30,
Technex Cloud Networks (TCN),technexcloudnetworks@gmail.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:50+05:30,
Scopus Solutions,webmaster@scopussolutions.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:53+05:30,
Ariscent Software Solutions,works@ariscentsoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:45:55+05:30,
